시설명,구분,표준디자인,소재지도로명주소,소재지지번주소,위도,경도,데이터 기준일자
택시정류장,쉘터형,Y,경기도 수원시 권선구 매송고색로 724,경기도 수원시 권선구 고색동 45-19 신병원,37.25134434,126.9837192,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 동수원로146번길 27,경기도 수원시 권선구 곡반정동 516-2 곡반중학교,37.24434997,127.0330571,2021-12-27
택시정류장,표지판형,Y,경기도 수원시 권선구 곡선로 43,경기도 수원시 권선구 곡반정동 558-6,37.23916605,127.0294265,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 곡선동 상록아파트 512동 후문,37.25065271,127.0379928,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 곡선동하고렴사거리,37.23776919,127.0283061,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 곡선동한솔아파트 108동,37.23714971,127.0285845,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 수성로 18,경기도 수원시 권선구 구운동 463 강남아파트,37.28202415,126.9761353,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 곡선동 925 이마트 서수원점(서수원터미널),37.23776919,127.0283061,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 수인로 193,경기도 수원시 권선구 구운동507-1 웃거리 지하도,37.27668307,126.9784966,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 권광로 55,경기도 수원시 권선구 권선동 1330,37.25489567,127.0257079,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 세권로 185,경기도 수원시 권선구 권선동 1051 권선종합상가,37.25610284,127.0245763,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 권선동1090 세계로중앙병원,37.26018956,127.0229679,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189 이마트 정문,37.25010971,127.0200995,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 경수대로302번길 25-1,경기도 수원시 권선구 권선동 1201 삼성아파트 입구,37.25148659,127.0220657,2021-12-27
택시정류장,쉘터형,N,경기도 수원시 권선구 동수원로 232,경기도 수원시 권선구 권선동1296-5 롯데마트,37.25025646,127.0346951,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 금곡로102번길 15,경기도 수원시 권선구 금곡동 1085-1 비즈웍스상가,37.27349614,126.941849,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 서수원로 589,경기도 수원시 권선구 금곡동 79 삼익3차 아파트 입구,37.27735111,126.9548641,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 금곡동160 서수원홈플러스,37.27415066,126.9546828,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 금곡로 46,경기도 수원시 권선구 금곡동 1081 호매실휴먼시아 521동(상촌성당 맞은편),37.27376574,126.9387445,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 금곡로73번길 33,경기도 수원시 권선구 금곡동 530 엘지빌리지 202동 후문,37.27144045,126.9376834,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 당진로 28,경기도 수원시 권선구 당수동 159-5 가락공판장,37.29164381,126.9408283,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 권선구 서둔동 296-97(롯데몰 맞은편),37.26524618,126.9961825,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 정조로 432,경기도 수원시 권선구 세류동 1147 농협 남수원지점(미영아파트),37.24746842,127.0145317,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 권선구 오목천동 946 주공아파트 102동,37.24047598,126.9648289,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 매송고색로 873,경기도 수원시 권선구 평동 23-28 공구유통타운 버스승강장,37.25848625,126.9970387,2021-12-27
택시정류장,표지판형,N,경기도 수원시 권선구 매실로 70,경기도 수원시 권선구 호매실동 377 GS아파트 상가,37.26839885,126.9584491,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 망포동 541-11 중앙프라자,37.23863276,127.0571473,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 망포동 망포역 4번출구,37.24136644,127.0530445,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 태장로82번길 15,경기도 수원시 영통구 망포동 558-2 하나은행 신영통지점,37.23834314,127.0558548,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄2동 111 KT플라자,37.27303318,127.0510813,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄2동 1199 원천성일201동,37.27002664,127.0571173,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄3동 990 위브하늘채102동,37.26231799,127.0397387,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄3동 1235-1 코닥사진관,37.26383613,127.0458526,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄3동 1267-5 밀래니엄프라자(영통구청),37.25911409,127.0446945,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄3동 1329 영통구청 맞은편,37.25959722,127.0465034,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 매영로 150,경기도 수원시 영통구 매탄동 310 한울림프라자 (매원고등학교),37.26569938,127.0546006,2021-12-27
택시정류장,쉘터형,Y,경기도 수원시 영통구 삼성로 144,경기도 수원시 영통구 매탄동 474-6 현진빌딩(삼성전자),37.25619332,127.0557902,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 삼성로 130,경기도 수원시 영통구 매탄동 560 삼성전자 남문,37.2546747,127.0574549,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 청명남로 31,경기도 수원시 영통구 영통동 998-8 키넥스GS25,37.25294992,127.0752983,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 청명남로 30,경기도 수원시 영통구 영통동 1010-13 키넥스CU마트,37.25220305,127.0754314,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 영통동 1024-12 경희대입구 맞은편(파리바게트 ),37.24794308,127.0780308,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 영통동 945 황골육교(한빛정형외과),37.26745074,127.0813788,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 영통동 1053-1 벽산아파트 223동,37.2654447,127.0829815,2021-12-27
택시정류장,표지판형(모범형),N,,경기도 수원시 영통구 영통동 1053-1 벽산아파트 223동,37.2654447,127.0829815,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 영통동 1060 롯데마트영통점,37.25274128,127.0716598,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 영통동 1081 수원출입국사무소,37.25175984,127.0763725,2021-12-27
택시정류장,표지판형(모범형),N,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-4 하나은행 영통지점,37.26322965,127.0785438,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 봉영로 1623,경기도 수원시 영통구 영통동 958-1 마사회(느티나무사거리),37.25593714,127.074732,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 중부대로 437,경기도 수원시 영통구 원천동 177-1 홈플러스,37.27006909,127.0636112,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 매탄동 1231-2 공원 앞,37.26629837,127.0574005,2021-12-27
택시정류장,표지판형,N,경기도 수원시 영통구 광교중앙로 247,경기도 수원시 영통구 하동 956 휴먼시아32단지,37.2946029,127.0655296,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 영통구 이의동 광교중앙역 1번출구,37.29820293,127.0480022,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 창룡대로 159,경기도 수원시 장안구 연무동 260-20 다인병원,37.29191828,127.0275208,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 정조로 932,경기도 수원시 장안구 영화동 285-9 신한은행,37.2908886,127.0130529,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 정조로 928,경기도 수원시 장안구 영화동 285-8 신한은행,37.2906031,127.0133949,2021-12-27
택시정류장,표지판형,Y,경기도 수원시 장안구 팔달로259번길 32,경기도 수원시 장안구 영화동 311-14 신한은행 맞은편(스페인안경점),37.29012144,127.012905,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 서부로 2172,경기도 수원시 장안구 천천동 558-4,37.30208546,126.9733822,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 서부로 2131,경기도 수원시 장안구 율전동 285-6 율전고가차도 밑,37.29897007,126.9715747,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 장안구 정자동 874-6 국민은행 북수원지점,37.2961444,126.9951184,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 파장로 75,경기도 수원시 장안구 정자동 435-1 크로커다일 파장동점,37.30602281,126.9922348,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 정자천로133번길 26,경기도 수원시 장안구 정자동879-1 정자3동주민센터,37.29513723,126.9911166,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 장안구 정자동 890 북수원지식정보 도서관,37.29809887,126.9907725,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 장안구 정자동 877-8 화이트쇼핑몰(정자3동주민센터 맞은편),37.29562435,126.9932982,2021-12-27
택시정류장,표지판형(모범형),N,,경기도 수원시 장안구 정자동 877-8 화이트쇼핑몰(정자3동주민센터 맞은편),37.29562435,126.9932982,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 이목로 24,경기도 수원시 장안구 정자동 945 SK스카이뷰아파트 후문,37.30940025,126.983605,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 장안구 원동25 장안구청,37.3040757,127.0103202,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 855 조원주공아파트 108동,37.30426212,127.0164767,2021-12-27
택시정류장,표지판형,N,경기도 수원시 장안구 화산로 87,경기도 수원시 장안구 천천동 334-2 푸르지오 종합상가,37.29171106,126.9824441,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 고등동 208-1 택시쉼터(해병전우회),37.27444573,126.9961169,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 수동11-814 택시쉼터,37.28330913,127.021587,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 덕영대로 924,경기도 수원시 팔달구 매산로1가 18 수원역 육교,37.26567577,127.0001003,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 북수동187-2 국제열쇠,37.28464125,127.0159649,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 우만동 72-1 아주공원 솔밭화장실,37.27767559,127.0434567,2021-12-27
택시정류장,표지판형(모범형),N,,경기도 수원시 팔달구 우만동145-3 호텔캐슬 옆,37.27638801,127.0391204,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 우만동 604 수원구치소,37.28059828,127.0327408,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 권광로 373,경기도 수원시 팔달구 우만동 600 월드메르디앙 후문(농협 맞은편),37.28033043,127.036364,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 인계동 489-7 KBS드라마센터,37.26793826,127.0305686,2021-12-27
택시정류장,표지판형(모범형),N,,경기도 수원시 팔달구 인계동 755 강한의원 부근,37.27518663,127.0211394,2021-12-27
택시정류장,표지판형(모범형),N,경기도 수원시 팔달구 효원로 282,경기도 수원시 팔달구 인계동 1125-1 갤러리아 백화점,37.26098672,127.0322698,2021-12-27
택시정류장,표지판형(모범형),N,경기도 수원시 팔달구 권광로 187,경기도 수원시 팔달구 인계동 1113 씨네파크(나혜석거리 맞은편),37.26374368,127.0322233,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 경수대로 560,37.27563386,127.0306054,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 인계동 1120-11 나혜석거리 입구,37.26395671,127.0329308,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 효원로307번길 19,경기도 수원시 팔달구 인계동 1122-9 경기문화예술의전당 서문(국민연금),37.261842,127.0354944,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 권광로 132,경기도 수원시 팔달구 인계동 1132-12 IBIS 호텔,37.25922177,127.0313115,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 효원로 282,경기도 수원시 팔달구 인계동 1125-1 갤러리아 백화점,37.26098672,127.0322698,2021-12-27
택시정류장,표지판형,Y,경기도 수원시 팔달구 경수대로 437,경기도 수원시 팔달구 인계동 994-5 윌스병원 앞,37.26531991,127.02554,2021-12-27
택시정류장,표지판형,N,경기도 수원시 팔달구 정조로 792,경기도 수원시팔달구 팔달로2가18-3 조한약방,37.27879249,127.0169656,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 화서2동646 화서주공아파트308동,37.28620132,126.99145,2021-12-27
택시정류장,표지판형,N,,경기도 수원시 팔달구 화서2동 727 주안교회 (율전중학교),37.28582719,126.9814181,2021-12-27
택시정류장,쉘터형,Y,경기도 수원시 팔달구 정조로 781,경기도 수원시 팔달구 팔달로2가 112-2 남문 택시승강장,37.27803746,127.0161072,2021-12-27
택시정류장,쉘터형,N,경기도 수원시 권선구 매탄로 11,경기도 수원시 권선구 권선동 1240 현대아파트 상가,37.25343506,127.0377433,2021-12-27
택시정류장,쉘터형,N,,경기도 수원시 권선구 권선동 1218 수원버스터미널,37.25010971,127.0200995,2021-12-27
택시정류장,쉘터형,Y,경기도 수원시 권선구 세화로 118,경기도 수원시 권선구 서둔동 296-3 롯데몰,37.26287534,126.9960674,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 권선구 장지동 세류역,37.23579465,127.00427,2021-12-27
택시정류장,쉘터형,교통약자 주차장,,경기도 수원시 권선구 수원역환승센터 1층,37.27598814,127.009154,2021-12-27
택시정류장,쉘터형,Y,경기도 수원시 영통구 삼성로 130,경기도 수원시 영통구 매탄동 457-15 삼성전자 연구단지,37.25764092,127.0531342,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 매탄동 매탄권선역 4번 출구,37.26445175,127.0495766,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 매탄동 매탄권선역 2 3번 출구 사이,37.26445175,127.0495766,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 매탄동 풍성프라자,37.26445175,127.0495766,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 매탄동 임광아파트 상가,37.25844092,127.0383335,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 신동 507-1 이마트트레이더스,37.24630472,127.0463326,2021-12-27
택시정류장,쉘터형,Y,경기도 수원시 영통구 권선로908번길 72,경기도 수원시 영통구 신동 939 영통래미안마크원 102동 앞,37.24643574,127.0435806,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 영통구 영통동 홈플러스,37.25298171,127.072446,2021-12-27
택시정류장,안내표지형,Y,,경기도 수원시 영통구 영통동 청명역 4번 출구(황골마을),37.26594668,127.0803147,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 장안구 조원동 898 북수원 홈플러스,37.30216511,127.0092059,2021-12-27
택시정류장,안내표지형,Y,경기도 수원시 장안구 천천로74번길 50,경기도 수원시 장안구 정자동 937 동남보건대(대월8단지 아파트 상가),37.29694031,126.9869982,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 팔달구 매산동 수원역,37.2681491,127.0059756,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 팔달구 매산동 수원역,37.2681491,127.0059756,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 팔달구 우만동 경기도 여권민원실,37.28377382,127.0343016,2021-12-27
택시정류장,쉘터형,N,,경기도 수원시 팔달구 우만동 145-3 호텔캐슬 앞,37.27638801,127.0391204,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 팔달구 인계동 동수원 홈플러스(수원시청역 6번 출구),37.2706617,127.0253359,2021-12-27
택시정류장,쉘터형(성곽여장형),N,,경기도 수원시 팔달구 화서동 화서역,37.28489361,126.9892007,2021-12-27
택시정류장,쉘터형,Y,,경기도 수원시 팔달구 매교동 매교역 1번출구,37.26897295,127.0150749,2021-12-27
택시정류장,쉘터형,N,,경기도 수원시 권선구 호매실로 218번길 122(호매실동),37.26616252,126.9616164,2021-12-27
택시정류장,쉘터형,N,,경기도 수원시 권선구 호매실로 104번길 90(호매실동),37.25958706,126.9626948,2021-12-27
택시정류장 ,쉘터형,N,,경기도 수원시 영통구 대학로 54(이의동),37.30082913,127.0451948,2021-12-27
